time,operators,typeOfAreaSse,instrumentClass,siteFacilityCode,typeOfVegetationSse,vegetationConditionSse,moistureOnVegetationSse,surfaceSoilConditionsSse,vegetationInsideFenceEbbr,vegetationOutsideFenceEbbr,vegetationHeightInsideFenceSse,vegetationHeightOutsideFenceSse,unanticipatedVegetationConditionEc,reportId,reportKey,reportSiteCode,reportFacilityCode,reportInstrumentClass,reportedOn,reporterId,reportStateCode,reportDataType,reportFrequencyCode,rowCropsEc,winterWheatEc,mostlyBareSoilEc,vegetationHeightEc,pastureOrRangelandEc,vegetationConditionEc,winterWheatConditionEc,surfaceSoilConditionsEc,pastureOrRangelandGrassEc,moistureOnVegetationSoilEc,rowCropsTypeEc,rowCropsConditionEc,pastureOrRangelandTypeEc,comments,notifySiteOps,notifyInstrumentMentor
2020-06-09 16:25:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E12,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,Grassy,Grassy,0.6,0.5,,441,PM-2020-SGP-E12-00006,sgp,E12,sfccond,2020-06-09T13:07:18.411+00:00,18599,COMPLETED,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-10 15:00:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E9,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,Grassy,Grassy,0.3,0.2,,513,PM-2020-SGP-E9-00007,sgp,E9,sfccond,2020-06-10T11:16:37.754+00:00,13303,COMPLETED,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-10 15:50:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E34,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.5,0.5,,504,PM-2020-SGP-E34-00007,sgp,E34,sfccond,2020-06-10T10:48:55.211+00:00,18599,COMPLETED,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-11 14:35:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E33,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.7,0.1,No,564,PM-2020-SGP-E33-00009,sgp,E33,sfccond,2020-06-11T14:06:15.385+00:00,18599,NEW,PMR,BIWEEKLY,No,Yes,No,0.6,No,"Mostly brown due to hot, dry weather",Yellow but unharvested,Dry and dusty,,Dry,,,,,,
2020-06-12 13:50:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E32,Mostly clumped grass,"Mostly brown due to hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.3,,625,PM-2020-SGP-E32-00011,sgp,E32,sfccond,2020-06-12T13:24:16.639+00:00,13303,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-15 16:10:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E35,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.4,0.3,,691,PM-2020-SGP-E35-00015,sgp,E35,sfccond,2020-06-16T12:10:52.369+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-15 16:30:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E15,Mostly clumped grass,"Mostly brown due to hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.2,,673,PM-2020-SGP-E15-00015,sgp,E15,sfccond,2020-06-15T15:08:48.460+00:00,13303,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-16 14:10:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E39,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.5,0.4,No,715,PM-2020-SGP-E39-00029,sgp,E39,sfccond,2020-06-16T12:46:34.348+00:00,18599,NEW,PMR,BIWEEKLY,No,Yes,No,0.3,No,"Mostly brown due to hot, dry weather",Stubble after harvest,Dry and dusty,,Dry,,,,,,
2020-06-16 15:50:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E38,Mostly clumped grass,"Mostly brown due to hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.2,0.2,No,739,PM-2020-SGP-E38-00017,sgp,E38,sfccond,2020-06-16T16:22:28.917+00:00,13303,NEW,PMR,BIWEEKLY,No,Yes,No,0.2,No,"Mostly brown due to hot, dry weather",Stubble after harvest,Dry and dusty,,Dry,,,,,,
2020-06-17 13:50:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E14,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.1,0.1,No,748,PM-2020-SGP-E14-00008,sgp,E14,sfccond,2020-06-17T10:56:12.273+00:00,18599,NEW,PMR,BIWEEKLY,Yes,No,No,0.4,No,"Green with brown patches because of hot, dry weather",,Dry and dusty,,Dry,Alfalfa,"Green, ground covered",,,,
2020-06-17 13:50:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E13,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.5,0.5,,754,PM-2020-SGP-E13-00071,sgp,E13,sfccond,2020-06-17T11:10:53.557+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-17 15:00:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E37,Mostly clumped grass,"Mostly brown due to hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.5,0.5,No,820,PM-2020-SGP-E37-00024,sgp,E37,sfccond,2020-06-17T14:49:44.376+00:00,13303,NEW,PMR,BIWEEKLY,No,Yes,No,0.3,No,"Mostly brown due to hot, dry weather",Stubble after harvest,Dry and dusty,,Dry,,,,,,
2020-06-17 18:00:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E40,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.5,0.4,,828,PM-2020-SGP-E40-00015,sgp,E40,sfccond,2020-06-17T16:59:32.395+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-18 14:55:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E36,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.5,0.3,,876,PM-2020-SGP-E36-00015,sgp,E36,sfccond,2020-06-18T13:07:22.713+00:00,13303,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-23 15:40:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E31,Mostly clumped grass,"Mostly brown due to hot, dry weather",Dry,Moist but not muddy,,,0.6,0.5,No,999,PM-2020-SGP-E31-00017,sgp,E31,sfccond,2020-06-23T14:16:24.788+00:00,18599,NEW,PMR,BIWEEKLY,Yes,No,No,0.3,No,"Lush green, unwilted",,Moist but not muddy,,Dry,Soybeans,Partial soil coverage because plants are small,,,,
2020-06-23 16:00:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E12,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,Grassy,Grassy,0.5,0.5,,1006,PM-2020-SGP-E12-00013,sgp,E12,sfccond,2020-06-23T16:02:20.717+00:00,13303,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-23 17:55:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E33,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.1,0.1,No,1015,PM-2020-SGP-E33-00017,sgp,E33,sfccond,2020-06-23T16:30:45.905+00:00,13303,NEW,PMR,BIWEEKLY,No,Yes,No,0.3,No,"Mostly brown due to hot, dry weather",Stubble after harvest,Dry and dusty,,Dry,,,,,,
2020-06-24 15:20:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E9,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Moist but not muddy,Grassy,Grassy,0.4,0.3,,1058,PM-2020-SGP-E9-00015,sgp,E9,sfccond,2020-06-24T13:36:44.061+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-24 15:45:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E34,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,Grassy,Grassy,0.4,0.4,,1091,PM-2020-SGP-E34-00015,sgp,E34,sfccond,2020-06-24T15:05:30.726+00:00,13303,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-25 14:15:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E41,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.2,0.2,No,1141,PM-2020-SGP-E41-00021,sgp,E41,sfccond,2020-06-25T13:10:10.382+00:00,13303,NEW,PMR,BIWEEKLY,No,Yes,No,0.2,,"Green with brown patches because of hot, dry weather",Stubble mostly covered with green weeds after harvest,Dry and dusty,,Dry,,,,,,
2020-06-25 15:25:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E11,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.1,,1149,PM-2020-SGP-E11-00015,sgp,E11,sfccond,2020-06-25T14:09:17.378+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-26 14:40:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E32,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.3,,1210,PM-2020-SGP-E32-00022,sgp,E32,sfccond,2020-06-26T12:41:11.185+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-29 15:20:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E39,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.4,0.4,No,1272,PM-2020-SGP-E39-00042,sgp,E39,sfccond,2020-06-29T16:14:06.793+00:00,13303,NEW,PMR,BIWEEKLY,No,Yes,No,0.2,No,"Mostly brown due to hot, dry weather",Stubble after harvest,Dry and dusty,,Dry,,Stubble after harvest,,,,
2020-06-29 16:10:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E38,Mostly clumped grass,"Mostly brown due to hot, dry weather",Dry,Dry and dusty,,,0.3,0.2,No,1475,PM-2020-SGP-E38-00028,sgp,E38,sfccond,2020-07-06T09:22:20.996+00:00,18599,NEW,PMR,BIWEEKLY,No,Yes,No,0.1,No,Brown due to freezing conditions,Stubble after harvest,Dry and dusty,,Dry,,,,,,
2020-06-30 15:15:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E35,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.5,0.3,,1326,PM-2020-SGP-E35-00023,sgp,E35,sfccond,2020-06-30T14:25:52.668+00:00,13303,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-30 15:15:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E15,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.1,,1318,PM-2020-SGP-E15-00023,sgp,E15,sfccond,2020-06-30T13:54:44.632+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-01 13:50:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E13,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.3,,1337,PM-2020-SGP-E13-00125,sgp,E13,sfccond,2020-07-01T11:17:42.373+00:00,13303,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-01 14:25:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E14,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.1,0.1,No,1344,PM-2020-SGP-E14-00012,sgp,E14,sfccond,2020-07-01T11:31:10.814+00:00,13303,NEW,PMR,BIWEEKLY,Yes,No,No,0.1,No,"Green with brown patches because of hot, dry weather",,Dry and dusty,,Dry,Alfalfa,Stubble mostly covered with green weeds after harvest,,,,
2020-07-01 14:30:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E36,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.4,0.2,,1351,PM-2020-SGP-E36-00024,sgp,E36,sfccond,2020-07-01T13:17:19.059+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-02 14:30:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E37,Mostly clumped grass,"Mostly brown due to hot, dry weather",Dry,,,,0.8,0.8,No,1467,PM-2020-SGP-E37-00038,sgp,E37,sfccond,2020-07-02T14:03:18.296+00:00,18599,NEW,PMR,BIWEEKLY,No,No,Yes,0.0,No,,,Dry and dusty,,Dry,,,,,,
2020-07-02 15:00:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E40,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.5,0.5,No,1472,PM-2020-SGP-E40-00023,sgp,E40,sfccond,2020-07-02T14:13:06.669+00:00,13303,NEW,PMR,BIWEEKLY,,,,,Yes,,,,Mostly clumped grass,,,,,,,
2020-07-06 15:45:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E12,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,Grassy,Grassy,0.8,0.8,,1518,PM-2020-SGP-E12-00020,sgp,E12,sfccond,2020-07-06T15:00:50.285+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-06 16:15:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E31,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Slightly wet because of rain or dew,Moist but not muddy,Grassy,Grassy,0.6,0.6,,1527,PM-2020-SGP-E31-00026,sgp,E31,sfccond,2020-07-06T15:51:25.089+00:00,13303,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-07 15:30:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E34,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.5,0.4,,1545,PM-2020-SGP-E34-00023,sgp,E34,sfccond,2020-07-07T14:01:36.197+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-07 15:40:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E11,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.2,,1578,PM-2020-SGP-E11-00023,sgp,E11,sfccond,2020-07-07T15:04:59.006+00:00,13303,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-08 14:40:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E41,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.2,0.2,No,1651,PM-2020-SGP-E41-00032,sgp,E41,sfccond,2020-07-08T15:05:51.774+00:00,18599,NEW,PMR,BIWEEKLY,No,No,No,0.2,Yes,"Green with brown patches because of hot, dry weather",,Dry and dusty,Mostly clumped grass,Dry,,,Derived from grazed grasslands,,,
2020-07-08 15:00:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E9,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.2,,1648,PM-2020-SGP-E9-00023,sgp,E9,sfccond,2020-07-08T15:02:55.817+00:00,13303,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-08 16:35:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E32,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.4,,1664,PM-2020-SGP-E32-00033,sgp,E32,sfccond,2020-07-08T15:28:44.066+00:00,13303,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-09 16:00:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E33,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Slightly wet because of rain or dew,Moist but not muddy,,,0.3,0.1,No,1712,PM-2020-SGP-E33-00026,sgp,E33,sfccond,2020-07-09T13:51:53.557+00:00,18599,NEW,PMR,BIWEEKLY,No,Yes,No,0.4,No,Brown due to freezing conditions,Stubble after harvest,Moist but not muddy,,Slightly wet because of rain or dew,,,,,,
2020-07-13 15:25:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E15,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Slightly wet because of rain or dew,Moist but not muddy,Grassy,Grassy,0.3,0.2,,1792,PM-2020-SGP-E15-00031,sgp,E15,sfccond,2020-07-13T13:22:11.930+00:00,13303,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-13 15:55:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E35,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Slightly wet because of rain or dew,Muddy or standing water,Grassy,Grassy,0.4,0.3,,1804,PM-2020-SGP-E35-00031,sgp,E35,sfccond,2020-07-13T14:13:39.312+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-14 15:30:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E38,Mostly clumped grass,"Mostly brown due to hot, dry weather",Dry,Moist but not muddy,Grassy,Grassy,0.2,0.1,No,1870,PM-2020-SGP-E38-00035,sgp,E38,sfccond,2020-07-14T15:50:20.988+00:00,13303,NEW,PMR,BIWEEKLY,No,Yes,No,0.1,No,"Mostly brown due to hot, dry weather",Stubble after harvest,Moist but not muddy,,Dry,,,,,,
2020-07-14 18:49:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E39,,"Green w/brown patches because of hot, dry weather",Dry,Moist but not muddy,Grassy,Grassy,0.4,0.1,No,1858,PM-2020-SGP-E39-00056,sgp,E39,sfccond,2020-07-14T14:54:07.708+00:00,18599,NEW,PMR,BIWEEKLY,No,Yes,Yes,0.2,No,All or mostly bare soil,Stubble after harvest,Moist but not muddy,,Dry,,,,Wheat stubble has been plowed. ,,
2020-07-15 14:50:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E37,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Slightly wet because of rain or dew,Moist but not muddy,Grassy,Grassy,0.6,0.6,No,1885,PM-2020-SGP-E37-00049,sgp,E37,sfccond,2020-07-15T13:08:40.019+00:00,13303,NEW,PMR,BIWEEKLY,No,No,Yes,0.0,No,All or mostly bare soil,,Moist but not muddy,,Slightly wet because of rain or dew,,,,,,
2020-07-15 16:15:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E40,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Moist but not muddy,Grassy,Grassy,0.5,0.4,,1946,PM-2020-SGP-E40-00030,sgp,E40,sfccond,2020-07-15T15:00:39.930+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-16 15:05:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E13,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Mostly wet because of rain or dew,Moist but not muddy,Grassy,Grassy,0.4,0.4,,1972,PM-2020-SGP-E13-00179,sgp,E13,sfccond,2020-07-16T12:54:46.014+00:00,18599,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-16 15:15:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E36,Unanticipated conditions (see comments),"Green w/brown patches because of hot, dry weather",Slightly wet because of rain or dew,Moist but not muddy,Grassy,Grassy,0.5,0.3,,2005,PM-2020-SGP-E36-00030,sgp,E36,sfccond,2020-07-16T14:21:37.724+00:00,13303,NEW,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-07-16 15:35:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E14,Mostly uniform grass,"Lush green, unwilted",Mostly wet because of rain or dew,Moist but not muddy,,,0.1,0.1,No,1966,PM-2020-SGP-E14-00016,sgp,E14,sfccond,2020-07-16T12:32:25.602+00:00,18599,NEW,PMR,BIWEEKLY,Yes,No,No,0.2,No,"Lush green, unwilted",,Moist but not muddy,,Mostly wet because of rain or dew,Alfalfa,"Green, ground covered",,,,
2020-07-20 15:10:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E33,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,Grassy,Grassy,0.4,0.2,No,2096,PM-2020-SGP-E33-00035,sgp,E33,sfccond,2020-07-20T12:54:04.844+00:00,13303,NEW,PMR,BIWEEKLY,No,Yes,No,0.2,No,"Mostly brown due to hot, dry weather",Stubble after harvest,Dry and dusty,,Dry,,,,,,
2020-07-20 15:45:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E31,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Slightly wet because of rain or dew,Moist but not muddy,,,0.6,0.5,No,2105,PM-2020-SGP-E31-00035,sgp,E31,sfccond,2020-07-20T14:37:42.599+00:00,18599,NEW,PMR,BIWEEKLY,Yes,No,No,0.8,No,"Lush green, unwilted",,Moist but not muddy,,Slightly wet because of rain or dew,Soybeans,"Green, ground covered",,,,
